CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
40701,MUS,01410,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"MAJOR APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Tiberi, Emily Rebecca", ,Main,,2,18,0,0,0,18,0,0,0,
40703,MUS,01410,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"MAJOR APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Plant, Lourin", ,Main,,2,18,0,0,0,18,0,0,0,
40704,MUS,01410,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"MAJOR APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Stieber, Marian", ,Main,,2,18,0,0,0,18,0,0,0,
40706,MUS,01411,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Athey-Janka, Lauren E.", ,Main,,1,18,0,0,0,18,0,0,0,
40708,MUS,01411,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Dever, Barbara", ,Main,,1,18,0,0,0,18,0,0,0,
40709,MUS,01411,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Eley, Elem Henry", ,Main,,1,18,0,0,0,18,0,0,0,
40710,MUS,01411,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Huffstodt, Karen Anne", ,Main,,1,18,0,0,0,18,0,0,0,
40711,MUS,01411,  5,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Cafaro, Aaron", ,Main,,1,18,0,0,0,18,0,0,0,
40713,MUS,01411,  6,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Tiberi, Emily Rebecca", ,Main,,1,18,0,0,0,18,0,0,0,
40714,MUS,01411,  7,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Plant, Lourin", ,Main,,1,18,0,0,0,18,0,0,0,
40715,MUS,01411,  8,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Natoli, Julia Anna", ,Main,,1,18,0,0,0,18,0,0,0,
40716,MUS,01411,  9,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Stieber, Marian", ,Main,,1,18,0,0,0,18,0,0,0,
40718,MUS,01411, 10,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Tapley, Nicholas Shane", ,Main,,1,18,0,0,0,18,0,0,0,
40719,MUS,01411, 11,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Titus, Kristin Joy", ,Main,,1,18,0,0,0,18,0,0,0,
40720,MUS,01411, 12,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 7Music majors, minors, and Music Industry students only.
","Bryson, Annie C", ,Main,,1,18,0,0,0,18,0,0,0,
40721,MUS,01412,  1,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Athey-Janka, Lauren E.", ,Main,,1,18,0,0,0,18,0,0,0,
40723,MUS,01412,  2,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Dever, Barbara", ,Main,,1,18,0,0,0,18,0,0,0,
40724,MUS,01412,  3,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Eley, Elem Henry", ,Main,,1,18,0,0,0,18,0,0,0,
40726,MUS,01412,  4,"Full Term ... 
06-SEP to 21-DEC",Day,"SECONDARY APPLIED VOICE 8Music majors, minors, and Music Industry students only.
","Huffstodt, Karen Anne", ,Main,,1,18,0,0,0,18,0,0,0,
